Time,AnaR2,AnaR6,AnaR12,test,Ther_TG_1.0_8.0,UTSR6_TG_0.5_7.0,UTSR6_TG_0.5_7.5,UTSR12_TG_0.5_8.5,UTSR12_TG_0.5_9.0,UTSR2_TG_0.5_4.5,UTSR2_TG_0.5_5.0,XYLR6_TG_1.0_7.0,XYLR6_TG_2.0_7.0,XYLR9_TG_0.5_10.0,XYLR2_TG_0.5_10.0
18/04/2010,,,,,0.160714286,,,,,,,,,,
19/04/2010,,,,,0.20297619,,,,,,,,,,
20/04/2010,0.00000,0.00000,0.00,,0.253511905,,,,,,,,,,
21/04/2010,,,,,0.248630952,,,,,,,,,,
22/04/2010,,,,,0.168988095,,,,,,,,,,
23/04/2010,,,,,0.182857143,,,,,,,,,,
24/04/2010,,,,,0.122916667,,,,,,,,,,
25/04/2010,,,,,0.090238095,,,,,,,,,,
26/04/2010,,,,,0.100178571,,,,,,,,,,
27/04/2010,,,,,0.084821429,,,,,,,,,,
28/04/2010,,,,,0.088571429,,,,,,,,,,
29/04/2010,,,,,0.083630952,,,,,,,,,,
30/04/2010,,,,,0.091190476,,,,,,,,,,
1/05/2010,,,,,0.11625,,,,,,,,,,
2/05/2010,,,,,0.109880952,,,,,,,,,,
3/05/2010,0.00000,0.00000,0.00,,0.100238095,,,,,,,,,,
4/05/2010,,,,,0.105416667,,,,,,,,,,
5/05/2010,,,,,0.085119048,,,,,,,,,,
6/05/2010,,,,,0.089047619,,,,,,,,,,
7/05/2010,,,,,0.086845238,,,,,,,,,,
8/05/2010,,,,,0.087678571,,,,,,,,,,
9/05/2010,,,,,0.09702381,,,,,,,,,,
10/05/2010,,,,,0.103630952,,,,,,,,,,
11/05/2010,,,,,0.092857143,,,,,,,,,,
12/05/2010,0.00000,0.00000,0.00,,0.073392857,,,,,,,,,,
13/05/2010,,,,,0.072083333,,,,,,,,,,
14/05/2010,,,,,0.068690476,,,,,,,,,,
15/05/2010,,,,,0.074047619,,,,,,,,,,
16/05/2010,,,,,0.06922619,,,,,,,,,,
17/05/2010,,,,,0.055952381,,,,,,,,,,
18/05/2010,0.00000,0.00000,0.00,,0.063154762,,,,,,,,,,
19/05/2010,,,,,0.07452381,,,,,,,,,,
20/05/2010,,,,,0.079761905,,,,,,,,,,
21/05/2010,,,,,0.068511905,,,,,,,,,,
22/05/2010,,,,,0.061785714,,,,,,,,,,
23/05/2010,,,,,0.060119048,,,,,,,,,,
24/05/2010,,,,,0.091785714,,,,,,,,,,
25/05/2010,50.00000,0.00000,0.00,,0.128154762,,,,,,,,,,
26/05/2010,,,,,0.074583333,,,,,,,,,,
27/05/2010,,,,,0.055535714,,,,,,,,,,
28/05/2010,,,,,0.065238095,,,,,,,,,,
29/05/2010,,,,,0.052857143,,,,,,,,,,
30/05/2010,,,,,0.045119048,,,,,,,,,,
31/05/2010,,,,,0.042559524,,,,,,,,,,
1/06/2010,200.00000,0.00000,0.00,,0.046547619,,,,,,,,,,
2/06/2010,,,,,0.043809524,,,,,,,,,,
3/06/2010,,,,,0.029166667,,,,,,,,,,
4/06/2010,,,,,0.019940476,,,,,,,,,,
5/06/2010,,,,,0.001547619,,,,,,,,,,
6/06/2010,,,,,-0.007857143,,,,,,,,,,
7/06/2010,,,,,-0.011904762,,,,,,,,,,
8/06/2010,0.00000,0.00000,20.00,,-0.005416667,,,,,,,,,,
9/06/2010,,,,,-0.01625,,,,,,,,,,
10/06/2010,,,,,-0.018035714,,,,,,,,,,
11/06/2010,,,,,-0.013988095,,,,,,,,,,
12/06/2010,,,,,-0.008154762,,,,,,,,,,
13/06/2010,,,,,-0.016428571,,,,,,,,,,
14/06/2010,,,,,-0.016488095,,,,,,,,,,
15/06/2010,0.00000,0.00000,0.00,,-0.007678571,,,,,,,,,,
16/06/2010,,,,,-0.01,,,,,,,,,,
17/06/2010,,,,,-0.01327381,,,,,,,,,,
18/06/2010,,,,,-0.025892857,,,,,,,,,,
19/06/2010,,,,,-0.025238095,,,,,,,,,,
20/06/2010,,,,,-0.016845238,,,,,,,,,,
21/06/2010,,,,,-0.031190476,,,,,,,,,,
22/06/2010,0.00000,0.00000,0.00,,-0.031964286,,,,,,,,,,
23/06/2010,,,,,0.002142857,,,,,,,,,,
24/06/2010,,,,,0.065178571,,,,,,,,,,
25/06/2010,,,,,0.08547619,,,,,,,,,,
26/06/2010,,,,,0.0775,,,,,,,,,,
27/06/2010,,,,,-0.008511905,,,,,,,,,,
28/06/2010,,,,,-0.01672619,,,,,,,,,,
29/06/2010,0.00000,0.00000,0.00,,-0.02922619,,,,,,,,,,
30/06/2010,,,,,-0.028095238,,,,,,,,,,
1/07/2010,,,,,-0.028035714,,,,,,,,,,
2/07/2010,,,,,-0.028944099,,,,,,,,,,
3/07/2010,,,,,-0.028819876,,,,,,,,,,
4/07/2010,,,,,-0.028012422,,,,,,,,,,
5/07/2010,,,,,-0.024099379,,,,,,,,,,
